date,home_team,away_team,score_home,score_away,total_line
04/12/20,Chinatrust Brothers,Uni Lions,1,4,11
04/14/20,Chinatrust Brothers,Fubon Guardians,1,3,8.5
04/15/20,Chinatrust Brothers,Fubon Guardians,6,7,11
04/15/20,Rakuten Monkeys,Uni Lions,9,8,10
04/16/20,Rakuten Monkeys,Uni Lions,15,3,11
04/17/20,Rakuten Monkeys,Fubon Guardians,11,10,11.5
04/17/20,Chinatrust Brothers,Uni Lions,6,1,10.5
04/18/20,Rakuten Monkeys,Fubon Guardians,12,9,13
04/18/20,Chinatrust Brothers,Uni Lions,6,2,8.5
04/19/20,Rakuten Monkeys,Fubon Guardians,3,1,12
04/19/20,Chinatrust Brothers,Uni Lions,4,7,9.5
04/21/20,Fubon Guardians,Uni Lions,13,2,11.5
04/22/20,Fubon Guardians,Uni Lions,5,9,11.5
04/22/20,Chinatrust Brothers,Rakuten Monkeys,2,3,12.5
4/24/20,Uni Lions,Rakuten Monkeys,4,14,11.5
4/24/20,Fubon Guardians,Chinatrust Brothers,0,11,10.5
4/25/20,Uni Lions,Rakuten Monkeys,8,7,10.5
4/25/20,Fubon Guardians,Chinatrust Brothers,5,6,8.5
4/26/20,Uni Lions,Rakuten Monkeys,12,5,12.5
4/26/20,Fubon Guardians,Chinatrust Brothers,5,4,8.5
4/28/20,Fubon Guardians,Rakuten Monkeys,0,3,11.5
4/28/20,Uni Lions,Chinatrust Brothers,8,9,10.5
4/29/20,Fubon Guardians,Rakuten Monkeys,3,5,10.5
4/30/20,Uni Lions,Chinatrust Brothers,12,6,12.5
5/1/20,Uni Lions,Uni Lions,15,6,11.5
5/1/20,Rakuten Monkeys,Chinatrust Brothers,8,10,9.5
5/2/20,Uni Lions,Uni Lions,2,11,13.5
5/2/20,Rakuten Monkeys,Chinatrust Brothers,16,11,10.5
5/3/20,Uni Lions,Fubon Guardians,7,12,13.5
5/3/20,Rakuten Monkeys,Chinatrust Brothers,9,3,14.5
5/5/20,Chinatrust Brothers,Uni Lions,8,5,13.5
5/6/20,Chinatrust Brothers,Uni Lions,18,8,14.5
5/7/20,Rakuten Monkeys,Fubon Guardians,15,6,13.5
5/8/20,Fubon Guardians,Uni Lions,7,6,13.5
5/8/20,Chinatrust Brothers,Rakuten Monkeys,6,4,10.5
5/9/20,Fubon Guardians,Uni Lions,7,4,13.5
5/9/20,Chinatrust Brothers,Rakuten Monkeys,3,6,13.5
5/10/20,Fubon Guardians,Uni Lions,2,10,13.5
