,home_team,away_team,score_home,score_away,total_line
5/5/20,Kia Tigers,Kiwoom Heroes,2,11,7.5
5/5/20,KT Wiz Suwon,Lotte Giants,2,7,8.5
5/5/20,LG Twins,Doosan Bears,8,2,8.5
5/5/20,Samsung Lions,NC Dinos,0,4,8.5
5/5/20,SK Wyverns,Hanwha Eagles,0,3,8
5/6/20,Kia Tigers,Kiwoom Heroes,2,3,8
5/6/20,KT Wiz Suwon,Lotte Giants,4,9,9.5
5/6/20,LG Twins,Doosan Bears,2,5,9.5
5/6/20,Samsung Lions,NC Dinos,3,4,8
5/6/20,SK Wyverns,Hanwha Eagles,5,2,9
5/7/20,Kia Tigers,Kiwoom Heroes,8,5,9
5/7/20,KT Wiz Suwon,Lotte Giants,3,7,9
5/7/20,LG Twins,Doosan Bears,3,9,9
5/7/20,Samsung Lions,NC Dinos,2,8,8.5
5/7/20,SK Wyverns,Hanwha Eagles,4,8,9
5/8/20,Doosan Bears,KT Wiz Suwon,3,12,9
5/8/20,Kiwoom Heroes,Hanwha Eagles,5,3,9.5
5/8/20,Lotte Giants,SK Wyverns,9,8,9.5
5/8/20,NC Dinos,LG Twins,13,5,8.5
5/8/20,Samsung Lions,Kia Tigers,5,0,8.5
5/9/20,Kiwoom Heroes,Hanwha Eagles,5,3,9.5
5/9/20,Samsung Lions,Kia Tigers,14,2,9.5
5/10/20,Doosan Bears,KT Wiz Suwon,13,12,9.5
5/10/20,Kiwoom Heroes,Hanwha Eagles,6,3,7.5
5/10/20,Lotte Giants,SK Wyverns,4,0,9
5/10/20,NC Dinos,LG Twins,8,10,9.5
5/10/20,Samsung Lions,Kia Tigers,3,12,8.5
5/12/20,Hanwha Eagles,Kia Tigers,1,2,8.5
5/12/20,Kiwoom Heroes,Samsung Lions,3,2,8.5
5/12/20,LG Twins,SK Wyverns,9,5,8.5
5/12/20,Lotte Giants,Doosan Bears,6,11,10.5
5/12/20,NC Dinos,KT Wiz Suwon,7,6,8.5
5/13/20,Hanwha Eagles,Kia Tigers,3,4,9.5
5/13/20,Kiwoom Heroes,Samsung Lions,0,5,9
5/13/20,LG Twins,SK Wyverns,14,2,9.5
5/13/20,Lotte Giants,Doosan Bears,10,9,10.5
