date,home_team,away_team,score_home,score_away,asian handicap,total_line
6/23/20,Canterbury Rams,Auckland Huskies,102,70,-20,165
6/23/20,Taranaki Mountainairs,Nelson Giants,112,96,-1,178
6/24/20,Franklin Bulls,Taranaki Mountainairs,95,107,-3.5,180.5
6/24/20,Manawatu Jets,Otago Nuggets,100,104,-2.5,183
6/25/20,Franklin Bulls,Canterbury Rams,72,75,3.5,181.5
6/25/20,Otago Nuggets,Nelson Giants,107,82,-6.5,194.5
6/27/20,Auckland Huskies,Manawatu Jets,67,95,1.5,190
6/27/20,Canterbury Rams,Taranaki Mountainairs,112,101,-3.5,178
6/28/20,Franklin Bulls,Auckland Huskies,63,59,-6.5,172.5
6/28/20,Nelson Giants,Manawatu Jets,88,83,4.5,191.5
6/29/20,Taranaki Mountainairs,Auckland Huskies,93,109,-10.5,186.5
6/30/20,Nelson Giants,Franklin Bulls,69,75,-3.5,170.5
6/30/20,Taranaki Mountainairs,Otago Nuggets,107,81,4.5,202.5
7/1/20,Manawatu Jets,Canterbury Rams,108,93,-1.5,185.5
7/1/20,Otago Nuggets,Franklin Bulls,79,85,-10.5,175
7/2/20,Canterbury Rams,Nelson Giants,90,97,-5.5,179
7/3/20,Franklin Bulls,Manawatu Jets,83,72,1.5,176.5
7/4/20,Canterbury Rams,Otago Nuggets,77,87,1.5,187.5
7/4/20,Auckland Huskies,Nelson Giants,83,91,1.5,177.5
7/5/20,Manawatu Jets,Taranaki Mountainairs,102,93,9.5,196.5
