10/01/17,CIN,L,1-3,Deck,McGuire,(R),Mike,Montgomery,(L),L,-184,U,9,-103
09/30/17,CIN,W,9-0,Jackson,Stephens,(R),Jon,Lester,(L),W,-214,O,8,-117
09/29/17,CIN,W,5-4,Robert,Stephenson,(R),Jose,Quintana,(L),W,-170,O,7,-116
09/28/17,@STL,W,2-1,Kyle,Hendricks,(R),Lance,Lynn,(R),W,128,U,8,-102
09/27/17,@STL,W,5-1,John,Lackey,(R),Michael,Wacha,(R),W,112,U,8,-102
09/26/17,@STL,L,7-8,Jake,Arrieta,(R),Carlos,Martinez,(R),L,-114,O,8,-113
09/25/17,@STL,W,10-2,Jon,Lester,(L),Luke,Weaver,(R),W,129,O,8,102
09/24/17,@MIL,W,5-0,Jose,Quintana,(L),Chase,Anderson,(R),W,-125,U,9,-101
09/23/17,@MIL,L,3-4,Kyle,Hendricks,(R),Brent,Suter,(L),L,-125,U,9,104
09/22/17,@MIL,W,5-4,John,Lackey,(R),Brandon,Woodruff,(R),W,-119,U,10,-103
09/21/17,@MIL,W,5-3,Jake,Arrieta,(R),Zach,Davies,(R),W,-135,U,9,-103
09/20/17,@TB,L,1-8,Jon,Lester,(L),Blake,Snell,(L),L,-116,O,8,-106
09/19/17,@TB,W,2-1,Mike,Montgomery,(L),Chris,Archer,(R),W,126,U,8,102
09/17/17,STL,W,4-3,Lance,Lynn,(R),Jose,Quintana,(L),W,-170,U,8.5,108
09/16/17,STL,W,4-1,Michael,Wacha,(R),Kyle,Hendricks,(R),W,-149,U,9.5,109
09/15/17,STL,W,8-2,Carlos,Martinez,(R),John,Lackey,(R),W,-116,O,9,-120
09/14/17,NYM,W,14-6,Seth,Lugo,(R),Jen-Ho,Tseng,(R),W,-202,O,9.5,111
09/13/17,NYM,W,17-5,Matt,Harvey,(R),Jon,Lester,(L),W,-270,O,8.5,-124
09/12/17,NYM,W,8-3,Robert,Gsellman,(R),Jose,Quintana,(L),W,-320,O,8.5,118
09/10/17,MIL,L,1-3,Zach,Davies,(R),Kyle,Hendricks,(R),L,-151,U,8,-119
09/09/17,MIL,L,2-15,Chase,Anderson,(R),Mike,Montgomery,(L),L,-156,O,8,108
09/08/17,MIL,L,0-2,Jimmy,Nelson,(R),John,Lackey,(R),L,-122,U,7.5,100
09/07/17,@PIT,W,8-2,Jon,Lester,(L),Jameson,Taillon,(R),W,-131,O,7.5,105
09/06/17,@PIT,W,1-0,Jose,Quintana,(L),Gerrit,Cole,(R),W,-122,U,7.5,100
09/05/17,@PIT,L,3-4,Kyle,Hendricks,(R),Steven,Brault,(L),L,-158,U,8.5,-114
09/04/17,@PIT,L,0-12,Jake,Arrieta,(R),Chad,Kuhl,(R),L,-170,O,8.5,103
09/03/17,ATL,L,1-5,Max,Fried,(L),Mike,Montgomery,(L),L,-240,U,9.5,107
09/02/17,ATL,W,14-12,Lucas,Sims,(R),Jon,Lester,(L),W,-250,O,8.5,101
09/01/17,ATL,W,2-0,Mike,Foltynewicz,(R),John,Lackey,(R),W,-209,U,8,104
08/31/17,ATL,W,6-2,Sean,Newcomb,(L),Kyle,Hendricks,(R),W,-235,O,7,-124
08/30/17,PIT,W,17-3,Ivan,Nova,(R),Jose,Quintana,(L),W,-190,O,9,113
08/29/17,PIT,W,4-1,Chad,Kuhl,(R),Jake,Arrieta,(R),W,-230,U,8,-113
08/28/17,PIT,W,6-1,Trevor,Williams,(R),Mike,Montgomery,(L),W,-175,U,8.5,107
08/27/17,@PHI,L,3-6,John,Lackey,(R),Nick,Pivetta,(R),L,-160,P,9,-
08/26/17,@PHI,W,17-2,Kyle,Hendricks,(R),Ben,Lively,(R),W,-195,O,8.5,-121
08/25/17,@PHI,L,1-7,Jose,Quintana,(L),Jerad,Eickhoff,(R),L,-210,U,8.5,-100
08/24/17,@CIN,L,2-4,Jake,Arrieta,(R),Sal,Romano,(R),L,-164,U,9.5,-104
08/23/17,@CIN,W,9-3,Mike,Montgomery,(L),Asher,Wojciechowski,(R),W,-109,O,10,108
08/22/17,@CIN,W,13-9,John,Lackey,(R),Homer,Bailey,(R),W,-151,O,10.5,-104
08/20/17,TOR,W,6-5,Marco,Estrada,(R),Kyle,Hendricks,(R),W,-169,O,9,-100
08/19/17,TOR,W,4-3,Nick,Tepesch,(R),Jose,Quintana,(L),W,-230,U,9.5,-103
08/18/17,TOR,W,7-4,J.A.,Happ,(L),Jake,Arrieta,(R),W,-176,O,9,100
08/17/17,CIN,L,10-13,Scott,Feldman,(R),Jon,Lester,(L),L,-236,O,12,105
08/16/17,CIN,W,7-6,Homer,Bailey,(R),John,Lackey,(R),W,-225,O,10,-104
08/15/17,CIN,L,1-2,Luis,Castillo,(R),Kyle,Hendricks,(R),L,-153,U,7.5,-110
08/14/17,CIN,W,15-5,Asher,Wojciechowski,(R),Jose,Quintana,(L),W,-210,O,9,-101
08/13/17,@ARI,W,7-2,Jake,Arrieta,(R),Zack,Godley,(R),W,101,P,9,-
08/12/17,@ARI,L,2-6,Jon,Lester,(L),Patrick,Corbin,(L),L,104,U,9.5,-115
08/11/17,@ARI,W,8-3,John,Lackey,(R),Taijuan,Walker,(R),W,105,O,10.5,102
08/09/17,@SF,L,1-3,Kyle,Hendricks,(R),Madison,Bumgarner,(L),L,111,U,7.5,-123
08/08/17,@SF,L,3-6,Jose,Quintana,(L),Ty,Blach,(L),L,-199,O,7.5,-100
08/07/17,@SF,W,5-3,Jake,Arrieta,(R),Matt,Moore,(L),W,-170,P,8,-
08/06/17,WAS,L,4-9,Erick,Fedde,(R),Jon,Lester,(L),L,-190,O,9.5,109
08/05/17,WAS,W,7-4,Edwin,Jackson,(R),John,Lackey,(R),W,-163,O,10.5,-130
08/04/17,WAS,L,2-4,Tanner,Roark,(R),Kyle,Hendricks,(R),L,-163,U,9,-111
08/03/17,ARI,L,8-10,Zack,Greinke,(R),Jose,Quintana,(L),L,-148,O,8.5,-129
08/02/17,ARI,L,0-3,Zack,Godley,(R),Jake,Arrieta,(R),L,-148,U,8,-105
08/01/17,ARI,W,16-4,Patrick,Corbin,(L),Jon,Lester,(L),W,-185,O,8.5,-120
07/30/17,@MIL,W,4-2,John,Lackey,(R),Zach,Davies,(R),W,105,U,9.5,-107
07/29/17,@MIL,W,2-1,Kyle,Hendricks,(R),Junior,Guerra,(R),W,-175,U,10,-109
07/28/17,@MIL,L,1-2,Jose,Quintana,(L),Brent,Suter,(L),L,-133,U,9,-122
07/27/17,@CHW,W,6-3,Jon,Lester,(L),Mike,Pelfrey,(R),W,-252,U,10,-105
07/26/17,@CHW,W,8-3,Jake,Arrieta,(R),James,Shields,(R),W,-265,O,10,-115
07/25/17,CHW,W,7-2,Carlos,Rodon,(L),John,Lackey,(R),W,-203,P,9,-
07/24/17,CHW,L,1-3,Miguel,Gonzalez,(R),Kyle,Hendricks,(R),L,-260,U,8,-115
07/23/17,STL,W,5-3,Michael,Wacha,(R),Jose,Quintana,(L),W,-164,P,8,-
07/22/17,STL,W,3-2,Adam,Wainwright,(R),Jon,Lester,(L),W,-158,U,8.5,-106
07/21/17,STL,L,4-11,Carlos,Martinez,(R),Jake,Arrieta,(R),L,-142,O,8,-119
07/19/17,@ATL,W,8-2,Mike,Montgomery,(L),R.A.,Dickey,(R),W,-126,O,9.5,-125
07/18/17,@ATL,W,5-1,John,Lackey,(R),Sean,Newcomb,(L),W,-135,U,9.5,102
07/17/17,@ATL,W,4-3,Jon,Lester,(L),Julio,Teheran,(R),W,-174,U,9.5,-105
07/16/17,@BAL,W,8-0,Jose,Quintana,(L),Ubaldo,Jimenez,(R),W,-156,U,10.5,100
07/15/17,@BAL,W,10-3,Jake,Arrieta,(R),Wade,Miley,(L),W,-119,O,10,103
07/14/17,@BAL,W,9-8,Mike,Montgomery,(L),Kevin,Gausman,(R),W,-103,O,10,101
