10/01/17,SEA,W,6-2,James,Paxton,(L),Parker,Bridwell,(R),W,115,P,8,-
09/30/17,SEA,L,4-6,Andrew,Albers,(L),Ricky,Nolasco,(R),L,-115,O,9,-102
09/29/17,SEA,W,6-5,Marco,Gonzales,(L),Tyler,Skaggs,(L),W,-126,O,9,-107
09/28/17,@CHW,L,4-5,Bud,Norris,(R),Dylan,Covey,(R),L,-115,U,9.5,-111
09/27/17,@CHW,L,4-6,Garrett,Richards,(R),Reynaldo,Lopez,(R),L,-179,O,9,-114
09/26/17,@CHW,W,9-3,Parker,Bridwell,(R),Chris,Volstad,(R),W,-175,O,10.5,-102
09/25/17,@CHW,L,2-4,Ricky,Nolasco,(R),James,Shields,(R),L,-225,U,10,-104
09/24/17,@HOU,W,7-5,Tyler,Skaggs,(L),Lance,McCullers,(R),W,165,O,9,102
09/23/17,@HOU,L,2-6,Bud,Norris,(R),Charlie,Morton,(R),L,116,U,8.5,106
09/22/17,@HOU,L,0-3,Garrett,Richards,(R),Justin,Verlander,(R),L,133,U,8,-108
09/21/17,CLE,L,1-4,Danny,Salazar,(R),Parker,Bridwell,(R),L,-107,U,8.5,-115
09/20/17,CLE,L,5-6,Josh,Tomlin,(R),Ricky,Nolasco,(R),L,102,O,8.5,-106
09/19/17,CLE,L,3-6,Mike,Clevinger,(R),Tyler,Skaggs,(L),L,102,O,8,109
09/17/17,TEX,L,2-4,Miguel,Gonzalez,(R),Garrett,Richards,(R),L,-187,U,9,-114
09/16/17,TEX,W,2-0,Cole,Hamels,(L),Parker,Bridwell,(R),W,-132,U,9,108
09/15/17,TEX,W,7-6,Nick,Martinez,(R),Bud,Norris,(R),W,-148,O,9,-108
09/14/17,HOU,L,2-5,Brad,Peacock,(R),Ricky,Nolasco,(R),L,122,U,9,-124
09/13/17,HOU,W,9-1,Mike,Fiers,(R),Tyler,Skaggs,(L),W,-124,O,8.5,-120
09/12/17,HOU,L,0-1,Justin,Verlander,(R),Garrett,Richards,(R),L,-107,U,8,-101
09/10/17,@SEA,W,5-3,Parker,Bridwell,(R),Erasmo,Ramirez,(R),W,112,U,9.5,-124
09/09/17,@SEA,L,1-8,Andrew,Heaney,(L),Andrew,Albers,(L),L,-107,O,8.5,-122
09/08/17,@SEA,L,3-4,Ricky,Nolasco,(R),Mike,Leake,(R),L,119,U,9,-100
09/06/17,@OAK,L,1-3,Tyler,Skaggs,(L),Sean,Manaea,(L),L,-120,U,9.5,106
09/05/17,@OAK,W,8-7,Garrett,Richards,(R),Kendall,Graveman,(R),W,-140,O,9.5,104
09/04/17,@OAK,W,11-9,Parker,Bridwell,(R),Chris,Smith,(R),W,-137,O,10,-112
09/03/17,@TEX,L,6-7,Andrew,Heaney,(L),Martin,Perez,(L),L,-132,O,11,-113
09/02/17,@TEX,W,7-4,Ricky,Nolasco,(R),A.J.,Griffin,(R),W,-127,P,11,-
09/01/17,@TEX,L,9-10,Tyler,Skaggs,(L),Cole,Hamels,(L),L,-143,O,10.5,-118
08/30/17,OAK,W,10-8,Kendall,Graveman,(R),Parker,Bridwell,(R),W,-143,O,9,-105
08/29/17,OAK,W,8-2,Chris,Smith,(R),Troy,Scribner,(R),W,-138,O,9.5,104
08/28/17,OAK,W,3-1,Daniel,Gossett,(R),Andrew,Heaney,(L),W,-138,U,9,-115
08/27/17,HOU,L,5-7,Charlie,Morton,(R),Ricky,Nolasco,(R),L,126,O,9.5,102
08/26/17,HOU,W,7-6,Brad,Peacock,(R),Tyler,Skaggs,(L),W,-101,O,8.5,102
08/25/17,HOU,L,1-2,Collin,McHugh,(R),Parker,Bridwell,(R),L,-110,U,8.5,105
08/24/17,TEX,L,0-3,Martin,Perez,(L),Troy,Scribner,(R),L,-148,U,9.5,-101
08/23/17,TEX,L,5-7,Andrew,Cashner,(R),Andrew,Heaney,(L),L,-170,O,8.5,-122
08/22/17,TEX,W,10-1,Tyson,Ross,(R),Ricky,Nolasco,(R),W,-163,O,9.5,-115
08/21/17,TEX,L,3-5,Cole,Hamels,(L),Tyler,Skaggs,(L),L,-154,U,8.5,-108
08/20/17,@BAL,W,5-4,Parker,Bridwell,(R),Chris,Tillman,(R),W,108,U,10.5,-101
08/19/17,@BAL,W,5-1,JC,Ramirez,(R),Kevin,Gausman,(R),W,144,U,9.5,104
