10/01/17,ATL,L,5-8,Max,Fried,(L),Jose,Urena,(R),L,-165,O,9,-114
09/30/17,ATL,W,10-2,Lucas,Sims,(R),Odrisamer,Despaigne,(R),W,-117,O,9,-114
09/29/17,ATL,W,6-5,Luiz,Gohara,(L),Dan,Straily,(R),W,-130,O,9,105
09/28/17,ATL,W,7-1,Julio,Teheran,(R),Dillon,Peters,(L),W,-127,U,9,-121
09/27/17,@COL,L,9-15,Adam,Conley,(L),Jon,Gray,(R),L,182,O,11.5,113
09/26/17,@COL,L,0-6,Jose,Urena,(R),Tyler,Anderson,(L),L,147,U,11,-117
09/25/17,@COL,W,5-4,Odrisamer,Despaigne,(R),Tyler,Chatwood,(R),W,153,U,12,-108
09/24/17,@ARI,L,2-3,Dan,Straily,(R),Patrick,Corbin,(L),L,164,U,10.5,106
09/23/17,@ARI,W,12-6,Dillon,Peters,(L),Taijuan,Walker,(R),W,136,O,11,-123
09/22/17,@ARI,L,11-13,Adam,Conley,(L),Zack,Greinke,(R),L,204,O,10,-102
09/20/17,NYM,W,9-2,Rafael,Montero,(R),Jose,Urena,(R),W,-170,O,9,-115
09/19/17,NYM,W,5-4,Seth,Lugo,(R),Odrisamer,Despaigne,(R),W,-124,U,9.5,-113
09/18/17,NYM,W,13-1,Matt,Harvey,(R),Dan,Straily,(R),W,-163,O,9,-110
09/17/17,MIL,L,3-10,Brandon,Woodruff,(R),Dillon,Peters,(L),L,130,O,9,-118
09/16/17,MIL,W,7-4,Zach,Davies,(R),Adam,Conley,(L),W,128,O,10,-104
09/15/17,MIL,L,2-10,Jeremy,Jeffress,(R),Jose,Urena,(R),L,115,O,10,-108
09/14/17,@PHI,L,0-10,Vance,Worley,(R),Jake,Thompson,(R),L,120,P,10,-
09/13/17,@PHI,L,1-8,Dan,Straily,(R),Aaron,Nola,(R),L,136,P,9,-
09/12/17,@PHI,L,8-9,Dillon,Peters,(L),Nick,Pivetta,(R),L,-115,O,9.5,104
09/10/17,@ATL,L,8-10,Odrisamer,Despaigne,(R),R.A.,Dickey,(R),L,138,O,9,-110
09/09/17,@ATL,L,5-6,Adam,Conley,(L),Max,Fried,(L),L,-111,O,9.5,-115
09/08/17,@ATL,W,7-1,Jose,Urena,(R),Mike,Foltynewicz,(R),W,118,U,9,-100
09/07/17,@ATL,L,5-6,Dan,Straily,(R),Sean,Newcomb,(L),L,-120,O,9.5,-100
09/06/17,WAS,L,1-8,Gio,Gonzalez,(L),Dillon,Peters,(L),L,104,P,9,-
09/05/17,WAS,L,1-2,Stephen,Strasburg,(R),Odrisamer,Despaigne,(R),L,156,U,8.5,-116
09/04/17,WAS,L,2-7,A.J.,Cole,(R),Adam,Conley,(L),L,-119,P,9,-
09/03/17,PHI,L,1-3,Jake,Thompson,(R),Jose,Urena,(R),L,-192,U,9.5,-106
09/02/17,PHI,W,10-9,Aaron,Nola,(R),Dan,Straily,(R),W,-142,O,7.5,-101
09/01/17,PHI,L,1-2,Nick,Pivetta,(R),Dillon,Peters,(L),L,-168,U,9,-121
08/31/17,PHI,L,2-3,Ben,Lively,(R),Odrisamer,Despaigne,(R),L,-190,U,9,-106
08/30/17,@WAS,L,0-4,Adam,Conley,(L),Stephen,Strasburg,(R),L,195,U,8.5,-104
08/29/17,@WAS,L,3-8,Vance,Worley,(R),Edwin,Jackson,(R),L,136,O,9,-119
08/28/17,@WAS,L,2-11,Jose,Urena,(R),Max,Scherzer,(R),L,201,O,7.5,-124
08/27/17,SD,W,6-2,Clayton,Richard,(L),Dan,Straily,(R),W,-154,U,8.5,-110
08/26/17,SD,W,2-1,Dinelson,Lamet,(R),Odrisamer,Despaigne,(R),W,-105,U,9,-116
08/25/17,SD,W,8-6,Travis,Wood,(L),Adam,Conley,(L),W,-152,O,9.5,114
08/24/17,@PHI,W,9-8,Vance,Worley,(R),Jake,Thompson,(R),W,-142,O,10,-121
08/23/17,@PHI,L,0-8,Justin,Nicolino,(L),Mark,Leiter,(R),L,-116,U,10,102
