10/01/17,@TEX,W,5-2,Daniel,Mengden,(R),Cole,Hamels,(L),W,132,U,10,-114
09/30/17,@TEX,L,4-8,Daniel,Gossett,(R),Andrew,Cashner,(R),L,113,O,10.5,-119
09/29/17,@TEX,L,3-5,Raul,Alcantara,(R),Martin,Perez,(L),L,115,U,10.5,109
09/28/17,@TEX,W,4-1,Sean,Manaea,(L),Miguel,Gonzalez,(R),W,-128,U,10.5,-115
09/27/17,SEA,W,6-5,Erasmo,Ramirez,(R),Kendall,Graveman,(R),W,-102,O,9.5,-124
09/26/17,SEA,L,3-6,James,Paxton,(L),Daniel,Mengden,(R),L,110,P,9,-
09/25/17,SEA,L,1-7,Felix,Hernandez,(R),Daniel,Gossett,(R),L,-105,U,9.5,-109
09/24/17,TEX,W,8-1,Martin,Perez,(L),Jharel,Cotton,(R),W,-113,U,10,-100
09/23/17,TEX,W,1-0,Miguel,Gonzalez,(R),Raul,Alcantara,(R),W,112,U,10.5,-110
09/22/17,TEX,W,4-1,Nick,Martinez,(R),Kendall,Graveman,(R),W,-135,U,9.5,103
09/20/17,@DET,W,3-2,Daniel,Mengden,(R),Anibal,Sanchez,(R),W,100,U,10.5,-103
09/19/17,@DET,W,9-8,Daniel,Gossett,(R),Chad,Bell,(L),W,-122,O,10.5,108
09/18/17,@DET,W,8-3,Raul,Alcantara,(R),Buck,Farmer,(R),W,-113,O,10,-105
09/17/17,@PHI,W,6-3,Sean,Manaea,(L),Henderson,Alvarez,(R),W,-118,U,9.5,-105
09/16/17,@PHI,L,3-5,Kendall,Graveman,(R),Ben,Lively,(R),L,-110,U,9.5,-114
09/15/17,@PHI,W,4-0,Daniel,Mengden,(R),Mark,Leiter,(R),W,112,U,10,-113
09/14/17,@BOS,L,2-6,Daniel,Gossett,(R),Drew,Pomeranz,(L),L,196,U,10.5,-109
09/13/17,@BOS,W,7-3,Jharel,Cotton,(R),Doug,Fister,(R),W,168,U,11,-106
09/12/17,@BOS,L,1-11,Sean,Manaea,(L),Eduardo,Rodriguez,(L),L,159,O,10,-108
09/10/17,HOU,W,10-2,Dallas,Keuchel,(L),Kendall,Graveman,(R),W,160,O,9,-128
09/09/17,HOU,W,11-4,Brad,Peacock,(R),Daniel,Mengden,(R),W,210,O,9.5,-103
09/09/17,HOU,W,11-1,Charlie,Morton,(R),Daniel,Gossett,(R),W,136,O,9.5,102
09/08/17,HOU,W,9-8,Collin,McHugh,(R),Jharel,Cotton,(R),W,158,O,9.5,-105
09/06/17,LAA,W,3-1,Tyler,Skaggs,(L),Sean,Manaea,(L),W,111,U,9.5,106
09/05/17,LAA,L,7-8,Garrett,Richards,(R),Kendall,Graveman,(R),L,129,O,9.5,104
09/04/17,LAA,L,9-11,Parker,Bridwell,(R),Chris,Smith,(R),L,126,O,10,-112
09/03/17,@SEA,L,2-10,Daniel,Gossett,(R),Andrew,Albers,(L),L,131,O,10,-101
09/02/17,@SEA,L,6-7,Jharel,Cotton,(R),Yovani,Gallardo,(R),L,118,O,9.5,-105
09/01/17,@SEA,L,2-3,Sean,Manaea,(L),Mike,Leake,(R),L,130,U,9.5,-110
08/30/17,@LAA,L,8-10,Kendall,Graveman,(R),Parker,Bridwell,(R),L,132,O,9,-105
08/29/17,@LAA,L,2-8,Chris,Smith,(R),Troy,Scribner,(R),L,127,O,9.5,104
08/28/17,@LAA,L,1-3,Daniel,Gossett,(R),Andrew,Heaney,(L),L,127,U,9,-115
08/27/17,TEX,W,8-3,A.J.,Griffin,(R),Jharel,Cotton,(R),W,-121,O,10.5,-103
08/26/17,TEX,W,8-3,Cole,Hamels,(L),Sean,Manaea,(L),W,-107,O,9.5,-104
08/25/17,TEX,W,3-1,Nick,Martinez,(R),Kendall,Graveman,(R),W,-140,U,9.5,-107
08/23/17,@BAL,L,7-8,Daniel,Gossett,(R),Dylan,Bundy,(R),L,174,O,10,-120
08/22/17,@BAL,W,6-4,Paul,Blackburn,(R),Ubaldo,Jimenez,(R),W,152,U,11.5,-111
08/21/17,@BAL,L,3-7,Chris,Smith,(R),Wade,Miley,(L),L,161,U,11,-109
08/20/17,@HOU,W,3-2,Jharel,Cotton,(R),Brad,Peacock,(R),W,219,U,9,109
08/19/17,@HOU,L,0-3,Kendall,Graveman,(R),Collin,McHugh,(R),L,144,U,9.5,-102
08/18/17,@HOU,L,1-3,Sean,Manaea,(L),Dallas,Keuchel,(L),L,184,U,9,104
08/16/17,KC,L,6-7,Danny,Duffy,(L),Paul,Blackburn,(R),L,114,O,9.5,-103
08/15/17,KC,W,10-8,Jason,Hammel,(R),Chris,Smith,(R),W,115,O,9,-100
08/14/17,KC,L,2-6,Jakob,Junis,(R),Jharel,Cotton,(R),L,-101,U,8.5,-102
08/13/17,BAL,W,9-3,Jeremy,Hellickson,(R),Kendall,Graveman,(R),W,101,O,9.5,108
08/12/17,BAL,L,5-12,Dylan,Bundy,(R),Sean,Manaea,(L),L,-103,O,9,114
08/11/17,BAL,W,5-4,Ubaldo,Jimenez,(R),Paul,Blackburn,(R),W,108,U,9.5,-107
08/10/17,BAL,L,2-7,Wade,Miley,(L),Chris,Smith,(R),L,-104,U,9.5,-113
08/09/17,SEA,L,3-6,Yovani,Gallardo,(R),Jharel,Cotton,(R),L,-106,U,9.5,100
08/08/17,SEA,L,6-7,Ariel,Miranda,(L),Kendall,Graveman,(R),L,107,O,9,-113
08/06/17,@LAA,W,11-10,Sean,Manaea,(L),Ricky,Nolasco,(R),W,123,O,9,102
08/05/17,@LAA,W,5-0,Paul,Blackburn,(R),Tyler,Skaggs,(L),W,156,U,9,102
08/04/17,@LAA,L,6-8,Jharel,Cotton,(R),Troy,Scribner,(R),L,118,O,9,-127
08/03/17,@SF,L,2-11,Kendall,Graveman,(R),Ty,Blach,(L),L,123,O,8.5,-111
08/02/17,@SF,W,6-1,Daniel,Gossett,(R),Matt,Moore,(L),W,141,U,8.5,-104
08/01/17,SF,L,4-10,Jeff,Samardzija,(R),Sean,Manaea,(L),L,-120,O,8,-110
07/31/17,SF,W,8-5,Matt,Cain,(R),Paul,Blackburn,(R),W,-140,O,9.5,-105
07/30/17,MIN,W,6-5,Bartolo,Colon,(R),Jharel,Cotton,(R),W,-135,O,10,110
07/29/17,MIN,W,5-4,Adalberto,Mejia,(L),Chris,Smith,(R),W,100,P,9,-
